"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1261913727.307,411.865,16.466,6.23e-23,2733.751,0.063,5379.004883,0.000,0.000,1.000,"5zpGkc8Gy7","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/K2sTvrltwo/5zpGkc8Gy7.png",5.657
1265557997.554,269.285,16.368,5.51e-23,557.857,0.188,1027.216553,0.000,0.000,1.000,"Cu1PwB5bXP","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/2hDDCHQsNV/Cu1PwB5bXP.png",5.657
1263678430.907,146.339,12.654,1.20e-22,211.877,0.156,331.946350,0.000,0.000,1.000,"4lBJUNwBBI","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/5WgQvgc1a8/4lBJUNwBBI.png",5.657
1262940087.286,95.999,9.388,8.67e-23,175.970,0.039,260.132385,0.000,0.000,1.000,"UgcYvCmjW0","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/wb6aB23z27/UgcYvCmjW0.png",5.657
1267310779.733,95.999,8.894,7.41e-23,3956.444,0.023,7838.527832,0.000,0.000,1.000,"xWqkbAdhKK","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/9XVNbggiAq/xWqkbAdhKK.png",5.657
1264393705.827,509.363,26.722,1.27e-22,2396.712,0.156,4688.800781,0.000,0.000,1.000,"RwtDiGpiw7","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QaMgsWkJ5Y/RwtDiGpiw7.png",5.657
1266506656.325,509.363,25.893,1.06e-22,1042.500,0.137,1996.502441,0.000,0.000,1.000,"l6CQSSe7ry","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Qjdyum0Nwa/l6CQSSe7ry.png",5.657
1263744104.244,217.741,24.449,8.55e-23,2844.277,0.281,5616.995605,0.000,0.000,1.000,"lRx3g2DrsC","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/gUQWsEPDjV/lRx3g2DrsC.png",5.657
1263213508.949,333.030,20.632,7.67e-23,1035.484,0.094,1982.469360,0.000,0.000,1.000,"DCFd6oRzrl","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/gRTQSjND7H/DCFd6oRzrl.png",5.657
1266583467.366,176.063,17.811,6.06e-23,256.375,0.250,403.303650,0.000,0.000,1.000,"FxXbnpDIpO","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/REXph9bCJE/FxXbnpDIpO.png",5.657
1259168818.698,269.285,17.263,6.32e-23,460.550,0.125,811.652527,0.000,0.000,1.000,"1ge3du6Uv6","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/pX0QZ186eb/1ge3du6Uv6.png",5.657
1263113521.804,217.741,17.019,5.82e-23,460.550,0.109,811.652527,0.000,0.000,1.000,"ie0d8WjF3v","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/UbeO8jKQj7/ie0d8WjF3v.png",5.657
1259123419.048,176.063,13.740,4.90e-23,310.588,0.078,511.728302,0.000,0.000,1.000,"m8k0za2SQB","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/MhS6kiKbIy/m8k0za2SQB.png",5.657
1259050853.115,77.754,11.631,1.19e-22,2500.151,0.177,4925.942871,0.000,0.000,1.000,"SbHiC4qxgH","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/ogf04lhReQ/SbHiC4qxgH.png",5.657
1265917954.822,77.754,9.310,8.12e-23,104.255,0.039,116.700531,0.000,0.000,1.000,"4jdTVOSEn0","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/5AVJEUqCU3/4jdTVOSEn0.png",5.657
1265112515.103,95.999,9.149,8.02e-23,104.255,0.039,116.700531,0.000,0.000,1.000,"26iCo3WA5A","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/CCxwk5vcsD/26iCo3WA5A.png",5.657
